x,y,z,nx,ny,nz,curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth
-5.400129780173301697e-02,1.315130442380905151e-01,3.970000147819519043e-01,7.945899753617745587e-01,1.219027712890717596e-01,5.947827211735550179e-01,4.662822171488099389e-03,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
-1.131479069590568542e-02,8.080232888460159302e-02,3.930000066757202148e-01,-4.365582117374640081e-01,8.986019180555558650e-02,8.951771186157833071e-01,2.038552347161236289e-02,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
-1.366474851965904236e-02,1.320533454418182373e-01,3.850000202655792236e-01,-2.700726227644651423e-01,1.498952494241538869e-01,9.511005165770826109e-01,1.984352025831251712e-02,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
-1.225540036102756858e-04,1.167994216084480286e-01,3.990000188350677490e-01,-6.731237270832229891e-01,1.448077188072084964e-01,7.252138805976089397e-01,7.954141716796942624e-03,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
-2.007726021111011505e-02,2.109360881149768829e-02,3.970000147819519043e-01,-2.972558118845898267e-01,1.686299555909474279e-01,9.397887637007736883e-01,1.318757552899832951e-02,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
-2.838722663000226021e-03,4.798334464430809021e-02,4.050000309944152832e-01,-6.790412003498376148e-01,1.232974938575282925e-01,7.236717323731144402e-01,9.486773136761583389e-03,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
-4.323098808526992798e-02,1.826180960051715374e-03,4.020000100135803223e-01,3.139147068494543835e-01,3.663029925759652694e-01,8.759450179397754166e-01,7.160231093392319460e-03,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
-4.081923048943281174e-03,1.212771236896514893e-01,3.940000236034393311e-01,7.116008803045724695e-01,-4.832074274008493070e-02,-7.009203185603939401e-01,7.179283320481426832e-03,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
-3.552042413502931595e-03,2.789874933660030365e-02,4.090000092983245850e-01,-6.864776568717633198e-01,-1.095458567448467646e-01,7.188519540808741004e-01,9.425399622314941869e-03,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
-5.161277949810028076e-02,1.232575848698616028e-01,3.940000236034393311e-01,7.535553838895321377e-01,3.327869985387227336e-02,6.565415535570734429e-01,4.900182911595891110e-03,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
-1.941208168864250183e-02,3.373197838664054871e-02,3.970000147819519043e-01,-3.440778540705120569e-01,1.862407948278994030e-01,9.202851713898816399e-01,1.983653827232274847e-02,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
-4.480138793587684631e-02,4.181918129324913025e-02,3.980000317096710205e-01,4.593370947311441466e-01,5.687736863372655494e-02,8.864391678740594083e-01,1.056551351191665003e-02,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
-8.002000860869884491e-03,1.081823185086250305e-01,3.920000195503234863e-01,-6.401387525381276866e-01,2.165208375216497172e-01,7.371167508731930607e-01,1.299370500989656570e-02,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
-8.287786506116390228e-03,1.136794872581958771e-02,4.060000181198120117e-01,7.004716763479238439e-01,-2.075124926374853906e-01,-6.828455140320591754e-01,5.330733382012417185e-03,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
-3.056533448398113251e-02,4.746039584279060364e-02,3.950000107288360596e-01,-4.106241674584122370e-01,-1.346163568230769325e-01,9.018127464029148666e-01,1.605599056649954087e-02,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
-2.915823599323630333e-03,-2.459667623043060303e-02,4.160000085830688477e-01,-6.430280118468086892e-01,-6.952590261461468607e-03,7.658110977708515454e-01,1.852839274386528651e-02,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
-3.475257381796836853e-02,6.842343509197235107e-02,3.900000154972076416e-01,2.022120041891461162e-01,6.294181207948250367e-02,9.773170589189364987e-01,8.447547621102238780e-03,7.820806838572025299e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.052163884730569043e-02,1.991243338991617873e-01,5.124814148477352393e-02
