Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical,Convex_Hull_Volume,Surface_Area,Concavity,Target
9.563119419123400355e-02,1.047763947112898691e-02,1.641627624630928040e-01,1.775951758027076721e-01,1.640000045299530029e-01,1.039674812360616256e-03,1.775951758027076721e-01,1.640000045299530029e-01,8.673617379884035472e-19,1.391167628369107713e-02,1.505805640945175883e+00,3.051293271095001976e-03,0.000000000000000000e+00
2.360908159859801403e-01,1.419326072752199151e-02,1.347693763673305511e-01,1.755124181509017944e-01,1.859999895095825195e-01,1.134099651583144169e-03,1.859999895095825195e-01,1.347693763673305511e-01,6.505213034913026604e-19,1.530647158310725724e-02,1.408827623040540544e+00,2.531584912684586679e-03,0.000000000000000000e+00
2.315716602136967950e-01,1.347779110293191758e-02,1.346540674567222595e-01,1.765868514776229858e-01,1.929999887943267822e-01,1.085297369775757798e-03,1.929999887943267822e-01,1.346540674567222595e-01,2.168404344971008868e-19,1.529032454871926891e-02,1.389788632946771463e+00,2.597028108404468051e-03,0.000000000000000000e+00
2.332807466249056105e-01,1.372493121714086876e-02,1.805038787424564362e-01,1.749513521790504456e-01,1.890000104904174805e-01,1.651539049586972377e-03,1.890000104904174805e-01,1.749513521790504456e-01,-6.505213034913026604e-19,1.922839112689233784e-02,1.271166805744819550e+00,2.615933850465284108e-03,0.000000000000000000e+00
2.263676483628972724e-01,1.418548569497147561e-02,9.646762907505035400e-02,1.748647764325141907e-01,1.740000247955322266e-01,8.426049515483061310e-04,1.748647764325141907e-01,9.646762907505035400e-02,3.252606517456513302e-19,1.340610753451718616e-02,1.456871270630137660e+00,2.568163914789005440e-03,0.000000000000000000e+00
2.268119101817895056e-01,1.433739791333860612e-02,1.014131233096122742e-01,1.749490499496459961e-01,1.740000247955322266e-01,8.797500389229240183e-04,1.749490499496459961e-01,1.014131233096122742e-01,4.336808689942017736e-19,1.391969982729602748e-02,1.423439796848535721e+00,2.547063486294353328e-03,0.000000000000000000e+00
2.253169410433002451e-01,1.416506580697542324e-02,1.017599478363990784e-01,1.748607829213142395e-01,1.750000119209289551e-01,9.924582688728064966e-04,1.750000119209289551e-01,1.017599478363990784e-01,-1.084202172485504434e-18,1.444267484520557476e-02,1.428145074762767974e+00,2.589733396815547747e-03,0.000000000000000000e+00
2.245062933840002162e-01,1.305306918719091429e-02,1.025068946182727814e-01,1.749098598957061768e-01,1.769999861717224121e-01,9.130477748264960967e-04,1.769999861717224121e-01,1.025068946182727814e-01,0.000000000000000000e+00,1.412811782257901612e-02,1.419916267877311178e+00,2.546136796480530894e-03,0.000000000000000000e+00
2.246690037992420119e-01,1.351686396278003847e-02,1.351709403097629547e-01,1.749622449278831482e-01,1.859999895095825195e-01,1.058740215699267547e-03,1.859999895095825195e-01,1.351709403097629547e-01,1.301042606982605321e-18,1.517106500884447817e-02,1.389194140402363997e+00,2.565304677514152008e-03,0.000000000000000000e+00
2.304413705894227116e-01,1.412969194268860577e-02,2.211150228977203369e-01,1.751829683780670166e-01,1.790000200271606445e-01,2.325815290359574666e-03,2.211150228977203369e-01,1.751829683780670166e-01,-8.673617379884035472e-19,2.328469225988620550e-02,1.176622403885455359e+00,2.659447604228226594e-03,0.000000000000000000e+00
2.247609046802725163e-01,1.350892929662543887e-02,1.385314539074897766e-01,1.742846071720123291e-01,1.800000071525573730e-01,1.481743159988580753e-03,1.800000071525573730e-01,1.385314539074897766e-01,-4.336808689942017736e-19,1.910306056087816839e-02,1.234062721576327126e+00,2.565105539453183328e-03,0.000000000000000000e+00
5.219855607732187819e-01,1.537086905209914672e-02,1.305322609841823578e-01,1.729172542691230774e-01,1.570000052452087402e-01,9.144929226894559122e-04,1.729172542691230774e-01,1.305322609841823578e-01,1.084202172485504434e-19,1.513274809098725561e-02,1.326350144919997698e+00,2.061686719257967062e-03,0.000000000000000000e+00
5.507894511355188039e-01,1.501358600101826597e-02,1.300124637782573700e-01,1.721337214112281799e-01,1.590000092983245850e-01,9.069150598040182911e-04,1.721337214112281799e-01,1.300124637782573700e-01,6.505213034913026604e-19,1.500548782427199405e-02,1.333893924929411723e+00,2.052790292701615633e-03,0.000000000000000000e+00
5.212047753391456650e-01,1.524713196878577613e-02,1.296967528760433197e-01,1.730542257428169250e-01,1.560000181198120117e-01,8.771129309958472422e-04,1.730542257428169250e-01,1.296967528760433197e-01,-4.336808689942017736e-19,1.470111694156701031e-02,1.346430831470931899e+00,2.035954493788314466e-03,0.000000000000000000e+00
5.542638345951372836e-01,1.559206368459891898e-02,1.296967528760433197e-01,1.725019291043281555e-01,1.750000119209289551e-01,1.178741001102342686e-03,1.750000119209289551e-01,1.296967528760433197e-01,4.336808689942017736e-19,1.612523141725561576e-02,1.354615527786547258e+00,2.047132246971433006e-03,0.000000000000000000e+00
5.506329949823243197e-01,1.581449200759496923e-02,1.285080239176750183e-01,1.734695509076118469e-01,1.580000221729278564e-01,8.875513670993478684e-04,1.734695509076118469e-01,1.285080239176750183e-01,6.505213034913026604e-19,1.475372216171904824e-02,1.346931285802419831e+00,2.049484559288106134e-03,0.000000000000000000e+00
5.557829877819163711e-01,1.476719966769347685e-02,1.328487507998943329e-01,1.726860329508781433e-01,1.800000071525573730e-01,1.298496397725290314e-03,1.800000071525573730e-01,1.328487507998943329e-01,-6.505213034913026604e-19,1.695258213565823888e-02,1.330741195143347433e+00,2.048549737778051095e-03,0.000000000000000000e+00
5.211804963879625996e-01,1.542473211096028439e-02,1.682708710432052612e-01,1.728701293468475342e-01,1.750000119209289551e-01,1.527699104304466524e-03,1.750000119209289551e-01,1.682708710432052612e-01,-2.168404344971008868e-19,1.841108619865221979e-02,1.293547573170172660e+00,2.075357530055383162e-03,0.000000000000000000e+00
5.354689557780024645e-01,1.535400755009145440e-02,1.596649512648582458e-01,1.723178252577781677e-01,1.720000207424163818e-01,1.461264309355969539e-03,1.723178252577781677e-01,1.596649512648582458e-01,1.084202172485504434e-18,1.851357986596234226e-02,1.267462339616207467e+00,2.072788973480625425e-03,0.000000000000000000e+00
5.435270999047188134e-01,1.493202226451376471e-02,1.276349984109401703e-01,1.727331578731536865e-01,1.720000207424163818e-01,1.155141025943192193e-03,1.727331578731536865e-01,1.276349984109401703e-01,0.000000000000000000e+00,1.599001135819792807e-02,1.356892492077082846e+00,2.056075586627640651e-03,0.000000000000000000e+00
