Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical,Target
1.167020681593546189e-01,7.815616004913593373e-02,6.090008218979026111e-01,1.222770184178747707e-02,9.645297378301620483e-02,2.002200223505496979e-01,4.600000381469726562e-02,9.811812440306386107e-02,2.009164295539634104e-01,5.874408538080988507e-02,2.009164295539634104e-01,5.874408538080988507e-02,0.000000000000000000e+00
1.119441506787093171e-01,7.722583016072820383e-02,6.011829628402888259e-01,1.228976700482997675e-02,9.577774256467819214e-02,1.997267156839370728e-01,4.600000381469726562e-02,1.026491766755279617e-01,2.067231016965471735e-01,6.753530915866978734e-02,2.067231016965471735e-01,6.753530915866978734e-02,0.000000000000000000e+00
1.194519388366711982e-01,7.712704943892177700e-02,6.338646673779525509e-01,1.542233528037182527e-02,9.576266258955001831e-02,2.002200223505496979e-01,4.600000381469726562e-02,9.789334375253573584e-02,2.006573231179180072e-01,6.419963367798298126e-02,2.006573231179180072e-01,6.419963367798298126e-02,0.000000000000000000e+00
1.203599580462944435e-01,7.653495813516081325e-02,6.328834501106265220e-01,1.540701271451332816e-02,9.645297378301620483e-02,1.997267156839370728e-01,4.600000381469726562e-02,9.946887257950003114e-02,2.032691202344665271e-01,5.992801902550604076e-02,2.032691202344665271e-01,5.992801902550604076e-02,0.000000000000000000e+00
1.107509001408146787e-01,7.819746499503327231e-02,6.790572679579506277e-01,2.122377929773573355e-02,9.645297378301620483e-02,2.002200223505496979e-01,4.600000381469726562e-02,1.006187664924731717e-01,2.044019986694031732e-01,6.559233054016344600e-02,2.044019986694031732e-01,6.559233054016344600e-02,0.000000000000000000e+00
1.112748371778998074e-01,7.937416349800367754e-02,6.803975678381002368e-01,2.119045103590469839e-02,9.645297378301620483e-02,2.002200223505496979e-01,4.600000381469726562e-02,9.769758278124884843e-02,2.017805340728912322e-01,6.417533931989938267e-02,2.017805340728912322e-01,6.417533931989938267e-02,0.000000000000000000e+00
1.454991059481623161e-01,7.005041365626649141e-02,5.467629517260882421e-01,8.562864973475589961e-03,7.656408846378326416e-02,1.972745098173618317e-01,4.500001668930053711e-02,7.712077482594541233e-02,1.980993806685382164e-01,5.716506853454084158e-02,1.980993806685382164e-01,5.716506853454084158e-02,0.000000000000000000e+00
1.392157109789904923e-01,7.099726000372418022e-02,5.422439859502478088e-01,8.811699134197607114e-03,7.382965832948684692e-02,1.958986856043338776e-01,4.500001668930053711e-02,7.703013993234086865e-02,1.988586464433223511e-01,6.706553939724224644e-02,1.988586464433223511e-01,6.706553939724224644e-02,0.000000000000000000e+00
1.334716533168403552e-01,7.554650886527700115e-02,5.908130076332623881e-01,1.187820415712174602e-02,7.795445155352354050e-02,1.969858296215534210e-01,4.500001668930053711e-02,8.123124651790211703e-02,2.000473871539642789e-01,5.687684114106494881e-02,2.000473871539642789e-01,5.687684114106494881e-02,0.000000000000000000e+00
1.369388980554964164e-01,7.162599840646792504e-02,5.776260188402176921e-01,1.181182908751322695e-02,7.795445155352354050e-02,1.969858296215534210e-01,4.500001668930053711e-02,7.876117128514283083e-02,1.983145353900462315e-01,5.848697652505441269e-02,1.983145353900462315e-01,5.848697652505441269e-02,0.000000000000000000e+00
1.346607662268179684e-01,7.997395538710776186e-02,6.168006675063946176e-01,1.502717325140473514e-02,7.727084588259458542e-02,1.982537098228931427e-01,4.500001668930053711e-02,8.161711093559485819e-02,2.017415446269886226e-01,5.718353845461254803e-02,2.017415446269886226e-01,5.718353845461254803e-02,0.000000000000000000e+00
