Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical,Target
3.424026109461913298e-02,7.121439191152195702e-02,6.933121596475063653e-01,6.040356775597474463e-03,6.711651980876922607e-01,5.220763385295867920e-01,3.190000355243682861e-01,1.066263485124702370e+00,1.071244796998969129e+00,8.188773064368822796e-01,1.071244796998969129e+00,8.188773064368822796e-01,7.000000000000000000e+00
3.450520481870660017e-02,7.289628833727593293e-02,7.077089582534855650e-01,6.165916114936403729e-03,6.709251403808593750e-01,5.239447653293609619e-01,3.200000226497650146e-01,1.024259583466516244e+00,1.044259945450336513e+00,7.717932098515039030e-01,1.044259945450336513e+00,7.717932098515039030e-01,7.000000000000000000e+00
2.001480843556637662e-02,6.178043298882743284e-02,5.876729059227281393e-01,4.479254776469020378e-03,6.705591082572937012e-01,5.161983221769332886e-01,3.150000274181365967e-01,7.095876298528250858e-01,6.772170095977334547e-01,5.907207979168667134e-01,7.095876298528250858e-01,5.907207979168667134e-01,7.000000000000000000e+00
1.344213994763346701e-02,6.363186559150250943e-02,6.070717148399084051e-01,4.496649203677405802e-03,6.640835702419281006e-01,5.189727395772933960e-01,3.150000274181365967e-01,1.083587865618929058e+00,1.095997118493369671e+00,8.291575062170779553e-01,1.095997118493369671e+00,8.291575062170779553e-01,7.000000000000000000e+00
2.721530400815237727e-02,7.035004444927193956e-02,6.487298184541469004e-01,5.790272383720082572e-03,6.719467639923095703e-01,5.173177719116210938e-01,3.170000016689300537e-01,7.255047977112554225e-01,6.624614684651737306e-01,6.601409021086592777e-01,7.255047977112554225e-01,6.601409021086592777e-01,7.000000000000000000e+00
3.093088481787388544e-02,6.830777814773481005e-02,6.342857768279189790e-01,5.567533856269197418e-03,6.702799201011657715e-01,5.179898142814636230e-01,3.160000145435333252e-01,1.085582869599194478e+00,1.091102296597631582e+00,8.640977438858471471e-01,1.091102296597631582e+00,8.640977438858471471e-01,7.000000000000000000e+00
3.156625972139525532e-02,7.229367539499957640e-02,6.672578714663990329e-01,6.100952632178933965e-03,6.682793498039245605e-01,5.218444764614105225e-01,3.150000274181365967e-01,1.057897070915758242e+00,1.087539406188976931e+00,8.244008023670985619e-01,1.087539406188976931e+00,8.244008023670985619e-01,7.000000000000000000e+00
2.721691796917020956e-02,6.773399966739569733e-02,6.555348316732076963e-01,6.116924844417836148e-03,6.714075505733489990e-01,5.236109197139739990e-01,3.160000145435333252e-01,9.255979881456182223e-01,9.363598683053601102e-01,6.857394999592414386e-01,9.363598683053601102e-01,6.857394999592414386e-01,7.000000000000000000e+00
3.205818421248398525e-02,7.289652224398912583e-02,6.987436750831631516e-01,6.623507117489175339e-03,6.714075505733489990e-01,5.229151099920272827e-01,3.160000145435333252e-01,1.076216822647557914e+00,1.094371388591730332e+00,8.322066508824171871e-01,1.094371388591730332e+00,8.322066508824171871e-01,7.000000000000000000e+00
3.242972495513959247e-02,7.234947950531923910e-02,6.984333763321346478e-01,6.565813497886751129e-03,6.705222725868225098e-01,5.221326053142547607e-01,3.160000145435333252e-01,9.824813306839691451e-01,9.958768134163914487e-01,7.601283664110503047e-01,9.958768134163914487e-01,7.601283664110503047e-01,7.000000000000000000e+00
1.683171856260268912e-02,5.949600905726591671e-02,5.668455522325979157e-01,4.304329935170744630e-03,6.714020371437072754e-01,5.105304718017578125e-01,3.170000016689300537e-01,1.078693021530606755e+00,1.088294225764691037e+00,8.179133652541531463e-01,1.088294225764691037e+00,8.179133652541531463e-01,7.000000000000000000e+00
2.321499073970806695e-02,6.072469800510359866e-02,5.810622039761402791e-01,4.224425311796407671e-03,6.678262352943420410e-01,5.091646909713745117e-01,3.150000274181365967e-01,1.037404051205632616e+00,1.056974405011155804e+00,7.938712022697024251e-01,1.056974405011155804e+00,7.938712022697024251e-01,7.000000000000000000e+00
2.538111498905442492e-02,6.860898868628177716e-02,6.483774831944579820e-01,5.236470229463110852e-03,6.692507266998291016e-01,5.113615542650222778e-01,3.160000145435333252e-01,1.083117018495103778e+00,1.097920308952144541e+00,8.154190483432792735e-01,1.097920308952144541e+00,8.154190483432792735e-01,7.000000000000000000e+00
2.946408662054616351e-02,6.779396098606636778e-02,6.484986365554041843e-01,5.261329200815034225e-03,6.697899103164672852e-01,5.106532573699951172e-01,3.160000145435333252e-01,1.067133478270052116e+00,1.083035981278968496e+00,8.431654834963894229e-01,1.083035981278968496e+00,8.431654834963894229e-01,7.000000000000000000e+00
2.904322435078446688e-02,7.104123151547875326e-02,6.470122124722599288e-01,5.847017094976740374e-03,6.686220765113830566e-01,5.119565874338150024e-01,3.160000145435333252e-01,1.051000104573625249e+00,1.067557526887403352e+00,8.040202495247430470e-01,1.067557526887403352e+00,8.040202495247430470e-01,7.000000000000000000e+00
2.604760256961924370e-02,7.106179840392248814e-02,6.635501721537818698e-01,5.875214556069857826e-03,6.697899103164672852e-01,5.123658925294876099e-01,3.160000145435333252e-01,1.060218919116897363e+00,1.075191491059303228e+00,7.905742823423508314e-01,1.075191491059303228e+00,7.905742823423508314e-01,7.000000000000000000e+00
2.839120991540702507e-02,7.465511906643487738e-02,7.030263409956476472e-01,5.948584842840144715e-03,6.709577143192291260e-01,5.121677219867706299e-01,3.170000016689300537e-01,1.038910654953585588e+00,1.056247361440790566e+00,7.910337022772009341e-01,1.056247361440790566e+00,7.910337022772009341e-01,7.000000000000000000e+00
3.093424560911502488e-02,7.503441129256188669e-02,7.048568840176505645e-01,6.135770285109164168e-03,6.697899103164672852e-01,5.115918219089508057e-01,3.170000016689300537e-01,1.061961568611443862e+00,1.079640990319709726e+00,8.445319792529354386e-01,1.079640990319709726e+00,8.445319792529354386e-01,7.000000000000000000e+00
1.801222632521659942e-02,6.639904551010065992e-02,6.293850035468099291e-01,4.574945241253428226e-03,6.651185750961303711e-01,5.115668475627899170e-01,3.170000016689300537e-01,1.012191984533636901e+00,1.012899519590195974e+00,8.240033372645422238e-01,1.012899519590195974e+00,8.240033372645422238e-01,7.000000000000000000e+00
1.559095449989309629e-02,6.338525999273315892e-02,5.875449512341397451e-01,4.263498266972788608e-03,6.650291681289672852e-01,5.164689123630523682e-01,3.149999976158142090e-01,9.584658739274629635e-01,9.409684336094745749e-01,7.979103640241119733e-01,9.584658739274629635e-01,7.979103640241119733e-01,7.000000000000000000e+00
2.495029639552219167e-02,7.237868864319868534e-02,6.541532885640892747e-01,5.512576779286269997e-03,6.714020371437072754e-01,5.142022371292114258e-01,3.190000355243682861e-01,1.032488894194258044e+00,1.048304094833375721e+00,7.742426383758671538e-01,1.048304094833375721e+00,7.742426383758671538e-01,7.000000000000000000e+00
