Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical
1.495216362631683893e-01,7.286721065260333419e-02,5.311475774684673024e-01,8.417701197305896971e-03,7.819176092743873596e-02,1.962873972952365875e-01,4.300001263618469238e-02,8.291210065659719575e-02,2.001072886141615770e-01,5.855003987191531589e-02,2.001072886141615770e-01,5.855003987191531589e-02
1.322824716700542469e-01,7.241050724526008897e-02,5.419544825723895398e-01,8.608697233280995439e-03,7.735827937722206116e-02,1.962873972952365875e-01,4.500001668930053711e-02,8.567816146248527498e-02,2.017488414421753362e-01,5.154862037494778448e-02,2.017488414421753362e-01,5.154862037494778448e-02
1.278700185320788829e-01,7.013002810971338818e-02,5.464026817538334413e-01,8.414625275681942781e-03,7.769733853638172150e-02,1.957081630825996399e-01,4.500001668930053711e-02,8.231555050014557895e-02,1.992323020372717135e-01,5.568455353270718167e-02,1.992323020372717135e-01,5.568455353270718167e-02
1.301407171848814048e-01,7.392574231699518272e-02,5.428426974506593838e-01,8.549811520261314107e-03,7.602091785520315170e-02,1.965016052126884460e-01,4.399999976158142090e-02,7.996679178283776224e-02,1.991169222519479920e-01,5.721055755920545494e-02,1.991169222519479920e-01,5.721055755920545494e-02
1.325948169546709576e-01,7.623239878326282248e-02,5.555878201085050483e-01,8.637884166018239274e-03,7.602091785520315170e-02,1.967886127531528473e-01,4.399999976158142090e-02,7.972360873663934810e-02,1.977020108088503036e-01,6.341025942396294468e-02,1.977020108088503036e-01,6.341025942396294468e-02
1.368129354462960801e-01,6.662891498712837646e-02,5.399651736200278274e-01,8.973294506902875292e-03,7.818994019180536270e-02,1.957014538347721100e-01,4.499998688697814941e-02,8.492651840824606835e-02,2.009262652324048104e-01,5.463443873995121880e-02,2.009262652324048104e-01,5.463443873995121880e-02
1.488041079290265412e-01,6.951672562866817451e-02,5.386796593147943346e-01,8.702045537686895274e-03,7.820806838572025299e-02,1.968829259276390076e-01,4.399999976158142090e-02,8.144704819022947906e-02,1.977357988218698681e-01,5.390267731704745380e-02,1.977357988218698681e-01,5.390267731704745380e-02
1.365793954522824816e-01,7.439754977480217413e-02,5.833781496189283100e-01,1.209942840400348926e-02,7.924093678593635559e-02,1.974671967327594757e-01,4.500001668930053711e-02,8.564780966482539448e-02,2.020032813702676844e-01,5.149541050904804518e-02,2.020032813702676844e-01,5.149541050904804518e-02
1.346884349975765172e-01,7.690102872025945946e-02,5.874451855565813174e-01,1.198850363598002317e-02,7.904490269720554352e-02,1.974671967327594757e-01,4.500001668930053711e-02,8.506302852626770883e-02,2.015888739527368911e-01,5.334677679459076671e-02,2.015888739527368911e-01,5.334677679459076671e-02
1.199944736522447070e-01,7.417489359252485426e-02,6.007431246421004456e-01,1.223631647623212547e-02,9.577774256467819214e-02,2.002200223505496979e-01,4.600000381469726562e-02,9.953032224046996779e-02,2.008954903548341164e-01,6.430675222204518260e-02,2.008954903548341164e-01,6.430675222204518260e-02
