Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical
1.045999192702910668e-01,7.355610018496988589e-02,5.481569101455884274e-01,9.100094002070305277e-03,7.687114551663398743e-02,1.968812532722949982e-01,4.499998688697814941e-02,8.397231563577964297e-02,1.975527939104895492e-01,6.792145557586670712e-02,1.975527939104895492e-01,6.792145557586670712e-02
1.545172734768160416e-01,6.811222957864998540e-02,5.400216054199584725e-01,8.775729144284189973e-03,1.163945533335208893e-01,2.033661045134067535e-01,4.899999499320983887e-02,1.370687166557558456e-01,2.144151242101750010e-01,8.180712916202770302e-02,2.144151242101750010e-01,8.180712916202770302e-02
1.475672312229183158e-01,7.471586147484710061e-02,5.286579298941382898e-01,8.910591212184373194e-03,1.163285933434963226e-01,2.033661045134067535e-01,5.200001597404479980e-02,1.397207269039237865e-01,2.173271352968508263e-01,8.514755036062660043e-02,2.173271352968508263e-01,8.514755036062660043e-02
1.401861938670365126e-01,7.651265182118510699e-02,5.394993286875835459e-01,8.713269352886795355e-03,1.143708378076553345e-01,2.043230459094047546e-01,4.399999976158142090e-02,1.342092681751385075e-01,2.175570941708853956e-01,6.872044058439197300e-02,2.175570941708853956e-01,6.872044058439197300e-02
1.286526150464426810e-01,7.252079356802050569e-02,5.363472252717625954e-01,8.824016650556683675e-03,1.150812581181526184e-01,2.032425925135612488e-01,4.500001668930053711e-02,1.218087801449081742e-01,2.050277868542359772e-01,7.065229090931179901e-02,2.050277868542359772e-01,7.065229090931179901e-02
1.338416634692713436e-01,6.917385035569280360e-02,5.282578200858424333e-01,8.887599409283446911e-03,7.703855540603399277e-02,1.971801854670047760e-01,4.500001668930053711e-02,8.029805459772200449e-02,1.978940646398801850e-01,5.820813193730423052e-02,1.978940646398801850e-01,5.820813193730423052e-02
1.408651627049157806e-01,7.173537068374498393e-02,5.417375777196828945e-01,9.134777535595944506e-03,7.769733853638172150e-02,1.954156532883644104e-01,4.399999976158142090e-02,8.189831845840225832e-02,1.985216085783755857e-01,6.217646916044461403e-02,1.985216085783755857e-01,6.217646916044461403e-02
1.274371930727289937e-01,7.913234979283706449e-02,5.520542547942492995e-01,9.483426813791504331e-03,1.154491156339645386e-01,2.039314433932304382e-01,4.700002074241638184e-02,1.352296620107210634e-01,2.136859702504012304e-01,7.660361762955070208e-02,2.136859702504012304e-01,7.660361762955070208e-02
1.410933103925186005e-01,7.139245703292318446e-02,5.247607155735732887e-01,9.002898662271635599e-03,1.160207688808441162e-01,2.042469307780265808e-01,4.800000786781311035e-02,1.395306135683948012e-01,2.176800180724073330e-01,8.035712326834332231e-02,2.176800180724073330e-01,8.035712326834332231e-02
1.262185395330654714e-01,7.455402982724425309e-02,5.745663612405099707e-01,1.194516397916692632e-02,1.423905566334724426e-01,2.037593759596347809e-01,4.700002074241638184e-02,1.578163018425049746e-01,2.152623037860582345e-01,7.852902409570394759e-02,2.152623037860582345e-01,7.852902409570394759e-02
1.342519307568035003e-01,7.455740320916388886e-02,5.808869555314362110e-01,1.201031824996584216e-02,1.428772062063217163e-01,2.032571621239185333e-01,4.700002074241638184e-02,1.683616820226329081e-01,2.260832576456315302e-01,8.149756133060581664e-02,2.260832576456315302e-01,8.149756133060581664e-02
1.178983554305252923e-01,7.009971451432743528e-02,5.814897618461032369e-01,1.267106007454208566e-02,1.037490628659725189e-01,1.988393999636173248e-01,4.600000381469726562e-02,1.151445280842652991e-01,2.084416855548917313e-01,6.901703935756409169e-02,2.084416855548917313e-01,6.901703935756409169e-02
1.110987088201734613e-01,7.442983606379248440e-02,5.815043945684642557e-01,1.267317014115595074e-02,1.058199927210807800e-01,1.995297111570835114e-01,4.600000381469726562e-02,1.121150832161925681e-01,2.042480291814184612e-01,5.854305236029055948e-02,2.042480291814184612e-01,5.854305236029055948e-02
