x,y,z,nx,ny,nz,curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth
-1.736321114003658295e-02,-6.013247743248939514e-02,4.470000267028808594e-01,-2.841691457699109247e-01,1.175030578203480197e-01,-9.515465979106160210e-01,1.273340478861152009e-02,3.499005734920501709e-01,2.391940951347351074e-01,2.120000123977661133e-01,4.018711673751262925e-01,3.034266264749716502e-01,2.856876468205375441e-01
5.645566061139106750e-02,-5.389615893363952637e-02,4.330000281333923340e-01,-5.850421277685539240e-02,2.684425486323093746e-01,9.615174752292079408e-01,5.063149341257758458e-03,3.499005734920501709e-01,2.391940951347351074e-01,2.120000123977661133e-01,4.018711673751262925e-01,3.034266264749716502e-01,2.856876468205375441e-01
-2.219920605421066284e-02,6.900236755609512329e-02,4.540000259876251221e-01,-4.555712483845144600e-01,3.734671416125996957e-01,-8.080700042577312336e-01,1.668713993230768952e-02,3.499005734920501709e-01,2.391940951347351074e-01,2.120000123977661133e-01,4.018711673751262925e-01,3.034266264749716502e-01,2.856876468205375441e-01
4.780349880456924438e-02,-4.027136415243148804e-02,4.270000159740447998e-01,8.399864961850254941e-02,3.196771534675633131e-01,9.437959230750808670e-01,3.150498167493315932e-03,3.499005734920501709e-01,2.391940951347351074e-01,2.120000123977661133e-01,4.018711673751262925e-01,3.034266264749716502e-01,2.856876468205375441e-01
1.329797804355621338e-01,-5.651006102561950684e-02,4.540000259876251221e-01,3.270875243735705262e-01,-7.776401189355890420e-01,-5.369260627134910813e-01,3.069598536897171284e-02,3.499005734920501709e-01,2.391940951347351074e-01,2.120000123977661133e-01,4.018711673751262925e-01,3.034266264749716502e-01,2.856876468205375441e-01
6.036362424492835999e-02,-1.070975959300994873e-01,4.690000116825103760e-01,1.431319240358942292e-02,-7.270932084656759331e-01,-6.863895386195122406e-01,1.104555472067995751e-02,3.499005734920501709e-01,2.391940951347351074e-01,2.120000123977661133e-01,4.018711673751262925e-01,3.034266264749716502e-01,2.856876468205375441e-01
1.039364468306303024e-02,-1.145776361227035522e-01,4.840000271797180176e-01,4.162228663143364704e-01,6.128478826072166763e-01,6.716963587372862809e-01,1.503550586304587718e-02,3.499005734920501709e-01,2.391940951347351074e-01,2.120000123977661133e-01,4.018711673751262925e-01,3.034266264749716502e-01,2.856876468205375441e-01
1.853080391883850098e-01,-3.165945410728454590e-02,4.690000116825103760e-01,-4.499357313962514260e-01,5.856859936798225474e-01,6.741882188381813634e-01,3.270899178666899360e-02,3.499005734920501709e-01,2.391940951347351074e-01,2.120000123977661133e-01,4.018711673751262925e-01,3.034266264749716502e-01,2.856876468205375441e-01
5.982232093811035156e-02,-8.902283757925033569e-02,4.530000090599060059e-01,6.025211380155359037e-02,5.377652566153474645e-01,8.409388869352364404e-01,4.153720767586036033e-03,3.499005734920501709e-01,2.391940951347351074e-01,2.120000123977661133e-01,4.018711673751262925e-01,3.034266264749716502e-01,2.856876468205375441e-01
-5.413338541984558105e-02,4.468847531825304031e-03,4.670000076293945312e-01,5.831572921382124353e-01,8.030301212283058598e-02,8.083804790258285466e-01,2.545401595308566418e-03,3.499005734920501709e-01,2.391940951347351074e-01,2.120000123977661133e-01,4.018711673751262925e-01,3.034266264749716502e-01,2.856876468205375441e-01
1.647227108478546143e-01,-6.296329945325851440e-02,4.800000190734863281e-01,-5.412947897031795685e-01,2.140470305668430440e-01,8.131321044859238789e-01,6.594249512928347309e-03,3.499005734920501709e-01,2.391940951347351074e-01,2.120000123977661133e-01,4.018711673751262925e-01,3.034266264749716502e-01,2.856876468205375441e-01
1.042853519320487976e-01,-5.723812803626060486e-02,4.420000314712524414e-01,-1.740629890828525872e-01,2.710831237489376155e-01,9.466868626161772937e-01,1.121121300661053442e-02,3.499005734920501709e-01,2.391940951347351074e-01,2.120000123977661133e-01,4.018711673751262925e-01,3.034266264749716502e-01,2.856876468205375441e-01
-6.170053500682115555e-03,7.593420892953872681e-02,4.500000178813934326e-01,4.268599437679529984e-01,-2.739012122063023136e-01,8.618403067612573354e-01,9.337341185713558117e-03,3.499005734920501709e-01,2.391940951347351074e-01,2.120000123977661133e-01,4.018711673751262925e-01,3.034266264749716502e-01,2.856876468205375441e-01
1.747842319309711456e-02,-6.552661955356597900e-02,4.380000233650207520e-01,1.650637840761857988e-01,4.388777961534403582e-01,8.832554711010567328e-01,9.802872615992523284e-03,3.499005734920501709e-01,2.391940951347351074e-01,2.120000123977661133e-01,4.018711673751262925e-01,3.034266264749716502e-01,2.856876468205375441e-01
1.163127943873405457e-01,1.776229590177536011e-02,4.290000200271606445e-01,-1.639830272681700452e-01,-1.891079732216637693e-02,9.862818808599327358e-01,4.992554749467859043e-03,3.499005734920501709e-01,2.391940951347351074e-01,2.120000123977661133e-01,4.018711673751262925e-01,3.034266264749716502e-01,2.856876468205375441e-01
-2.185692824423313141e-02,2.375023625791072845e-02,4.470000267028808594e-01,4.867361957113066628e-01,-2.353687935883371773e-01,8.412427751780428009e-01,4.254744814730336555e-03,3.499005734920501709e-01,2.391940951347351074e-01,2.120000123977661133e-01,4.018711673751262925e-01,3.034266264749716502e-01,2.856876468205375441e-01
