x,y,z,nx,ny,nz,curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth
1.111598238348960876e-01,5.763220041990280151e-02,4.370000064373016357e-01,-3.075496571028912274e-01,-3.340223066298907417e-01,8.909782865421251863e-01,1.350677625540188699e-02,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
1.679711341857910156e-01,5.410406738519668579e-04,4.540000259876251221e-01,-1.640139904715507205e-02,-3.273508330651688225e-01,-9.447605126172639034e-01,2.512025903172559332e-02,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
5.305895954370498657e-02,5.585835874080657959e-02,4.290000200271606445e-01,-2.347543135206451581e-01,2.066263917750980339e-01,-9.498399583642785915e-01,4.123918678184737389e-03,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
-1.026867479085922241e-01,2.165426500141620636e-02,5.230000019073486328e-01,8.667775841075203713e-01,2.285779519067574761e-01,4.432253823855785702e-01,1.615227073822870021e-02,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
8.988012373447418213e-02,-1.154449209570884705e-02,4.230000078678131104e-01,-2.501455289980921703e-01,1.338382036307249889e-01,9.589132127419902618e-01,5.541277876728559378e-03,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
4.035818204283714294e-02,-1.114161312580108643e-01,4.740000367164611816e-01,5.020786148599282184e-02,-7.882381010996120096e-01,-6.133187316721064875e-01,1.188704130828024692e-03,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
1.208088845014572144e-01,-6.639891862869262695e-02,4.540000259876251221e-01,3.934881675866109263e-01,-6.818309751797644314e-01,-6.166632656926654965e-01,2.085644768868264408e-03,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
6.461268663406372070e-02,-2.031918411375954747e-04,4.200000166893005371e-01,2.018291216562271423e-02,4.239486085797841003e-02,9.988970546704737385e-01,2.379978120974333023e-03,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
1.843654513359069824e-01,-4.555285349488258362e-02,4.830000102519989014e-01,-2.803777459305984432e-01,3.458683959596789981e-01,8.954124034561702361e-01,5.627761479364763036e-02,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
1.803816854953765869e-01,5.334477126598358154e-02,4.920000135898590088e-01,2.435510828622255985e-01,4.713694082919109851e-01,-8.476401069812419253e-01,2.569864806099491847e-02,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
6.138503924012184143e-02,-1.858785189688205719e-02,4.220000207424163818e-01,6.817984441627504555e-02,1.684794427881886603e-01,9.833443883874835034e-01,7.544385512567570659e-03,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
3.300950303673744202e-02,-4.559758305549621582e-02,4.300000071525573730e-01,7.303406452918420610e-02,1.139865652506723281e-01,9.907941705322559356e-01,1.060511473165997448e-02,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
4.301983490586280823e-02,-9.964727610349655151e-02,4.600000083446502686e-01,-4.255362614263962645e-02,-6.058869432377279596e-01,-7.944118584941661787e-01,1.006229402451551229e-02,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
-4.813519865274429321e-02,1.061368547379970551e-02,4.620000123977661133e-01,-6.218564695135166964e-01,-1.441068721329428481e-01,-7.697582352454853671e-01,2.041157549479511845e-03,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
8.184801042079925537e-02,6.871260702610015869e-02,4.330000281333923340e-01,1.530577229343512702e-01,3.971732531543796796e-01,-9.048904576958023416e-01,5.325818022604166327e-03,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
-7.782651484012603760e-02,4.228164255619049072e-02,4.880000352859497070e-01,6.110245129468047098e-01,-2.349196579575814070e-01,7.559509235943910888e-01,5.050715002250630130e-03,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
2.302955277264118195e-02,-5.015258863568305969e-02,4.320000112056732178e-01,1.481200241465941703e-01,3.644415953989924573e-01,9.193708620517889729e-01,1.015513246893203110e-02,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
2.198158018290996552e-02,7.498400658369064331e-02,4.400000274181365967e-01,3.128866756954586936e-01,-2.821218086048152274e-01,9.069229367933048236e-01,3.139767480551580638e-03,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
-7.479599118232727051e-02,-8.898284286260604858e-02,4.950000345706939697e-01,6.917354238944919409e-01,-4.284537141808673066e-01,5.813170547421837586e-01,1.508333112751427015e-02,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
1.104734279215335846e-02,-7.104745507240295410e-02,4.450000226497650146e-01,2.104039115309821462e-01,4.931775924604733796e-01,8.441007382459476682e-01,1.080189767641251929e-02,3.455637842416763306e-01,2.383750230073928833e-01,1.880000233650207520e-01,4.891647355384006191e-01,4.836369783869198802e-01,2.274627010857256382e-01
