x,y,z,nx,ny,nz,curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth
-3.479390218853950500e-02,-1.167758330702781677e-01,4.700000286102294922e-01,4.328807820057852251e-01,-1.762050647327024766e-01,-8.840622171163090570e-01,5.453613188361336461e-03,3.140648156404495239e-01,2.430581450462341309e-01,2.330000102519989014e-01,4.352955036537556888e-01,3.445116610525547074e-01,2.896498445439136260e-01
-5.558973923325538635e-02,-5.847190320491790771e-02,4.190000295639038086e-01,-1.750866889828764372e-02,5.436181751149097297e-01,8.391500022035068840e-01,8.500812737298845193e-03,3.140648156404495239e-01,2.430581450462341309e-01,2.330000102519989014e-01,4.352955036537556888e-01,3.445116610525547074e-01,2.896498445439136260e-01
1.994963362812995911e-02,-7.758313417434692383e-02,4.440000355243682861e-01,-3.554876472089495421e-01,5.891653065834888681e-01,7.256119997631166330e-01,4.227470733941900843e-03,3.140648156404495239e-01,2.430581450462341309e-01,2.330000102519989014e-01,4.352955036537556888e-01,3.445116610525547074e-01,2.896498445439136260e-01
4.044550471007823944e-03,-2.870956994593143463e-02,4.150000214576721191e-01,-3.383248581231960705e-01,2.464554271722554646e-01,9.081828080255981428e-01,4.183014851309486103e-03,3.140648156404495239e-01,2.430581450462341309e-01,2.330000102519989014e-01,4.352955036537556888e-01,3.445116610525547074e-01,2.896498445439136260e-01
6.635910272598266602e-02,2.018449082970619202e-02,4.510000348091125488e-01,-6.542376765297660546e-01,-4.850130839884377737e-02,7.547321946840040985e-01,5.404571831998358604e-03,3.140648156404495239e-01,2.430581450462341309e-01,2.330000102519989014e-01,4.352955036537556888e-01,3.445116610525547074e-01,2.896498445439136260e-01
-8.851372450590133667e-02,-8.484791964292526245e-02,4.470000267028808594e-01,-2.798197032350894786e-01,-6.921969194011050597e-01,-6.652551077992910900e-01,7.292453243977053794e-03,3.140648156404495239e-01,2.430581450462341309e-01,2.330000102519989014e-01,4.352955036537556888e-01,3.445116610525547074e-01,2.896498445439136260e-01
4.141065105795860291e-02,-2.936431579291820526e-02,4.350000321865081787e-01,-5.786879210983021382e-01,2.301510638782534868e-01,7.824006504155229802e-01,4.720126313325318651e-03,3.140648156404495239e-01,2.430581450462341309e-01,2.330000102519989014e-01,4.352955036537556888e-01,3.445116610525547074e-01,2.896498445439136260e-01
-7.645005360245704651e-03,8.689516223967075348e-03,4.080000221729278564e-01,-2.005509801521121460e-01,-6.341093916644309492e-02,9.776289465610441543e-01,1.150474102621865981e-02,3.140648156404495239e-01,2.430581450462341309e-01,2.330000102519989014e-01,4.352955036537556888e-01,3.445116610525547074e-01,2.896498445439136260e-01
-7.278797775506973267e-02,-7.653471827507019043e-02,4.380000233650207520e-01,3.374438979334862254e-02,4.278681059579695356e-01,9.032110495678262740e-01,4.736025164588783185e-03,3.140648156404495239e-01,2.430581450462341309e-01,2.330000102519989014e-01,4.352955036537556888e-01,3.445116610525547074e-01,2.896498445439136260e-01
7.898540049791336060e-02,1.839426718652248383e-02,4.630000293254852295e-01,7.410024310458701580e-01,8.762623606052669101e-02,-6.657604974298002576e-01,2.092812706305345691e-03,3.140648156404495239e-01,2.430581450462341309e-01,2.330000102519989014e-01,4.352955036537556888e-01,3.445116610525547074e-01,2.896498445439136260e-01
3.767959773540496826e-02,-3.947721049189567566e-02,4.340000152587890625e-01,-5.748147870558037997e-01,2.676970824016651762e-01,7.732568995202223627e-01,1.889282810113212998e-03,3.140648156404495239e-01,2.430581450462341309e-01,2.330000102519989014e-01,4.352955036537556888e-01,3.445116610525547074e-01,2.896498445439136260e-01
