x,y,z,nx,ny,nz,curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth
1.862274855375289917e-01,-1.847599260509014130e-02,4.540000259876251221e-01,1.002268879120576384e-01,-4.981507294153178500e-01,-8.612783648289620286e-01,1.115381236616865279e-01,3.472225219011306763e-01,2.388785928487777710e-01,1.850000023841857910e-01,4.808738550562595693e-01,4.403193821407530573e-01,2.827389581693911524e-01
9.424937516450881958e-02,-4.487711191177368164e-02,4.300000071525573730e-01,-2.304333923425654629e-01,4.434562903456285010e-01,8.661679803862474269e-01,8.055243880789098032e-03,3.472225219011306763e-01,2.388785928487777710e-01,1.850000023841857910e-01,4.808738550562595693e-01,4.403193821407530573e-01,2.827389581693911524e-01
8.426088094711303711e-02,7.904640585184097290e-02,4.380000233650207520e-01,-1.289056889684354335e-01,-3.198132527493374178e-01,9.386707658798486564e-01,1.969616619094686528e-03,3.472225219011306763e-01,2.388785928487777710e-01,1.850000023841857910e-01,4.808738550562595693e-01,4.403193821407530573e-01,2.827389581693911524e-01
1.810434758663177490e-01,7.139306515455245972e-02,5.030000209808349609e-01,2.153615041779129852e-02,5.236797094641725270e-01,-8.516429745619360503e-01,1.944100219426172019e-02,3.472225219011306763e-01,2.388785928487777710e-01,1.850000023841857910e-01,4.808738550562595693e-01,4.403193821407530573e-01,2.827389581693911524e-01
-3.336028009653091431e-02,9.783587604761123657e-02,4.720000326633453369e-01,-3.188977899483740330e-01,3.084895006950496565e-01,-8.961799080134307260e-01,1.756891568315340109e-03,3.472225219011306763e-01,2.388785928487777710e-01,1.850000023841857910e-01,4.808738550562595693e-01,4.403193821407530573e-01,2.827389581693911524e-01
1.287994831800460815e-01,-8.807799965143203735e-02,4.810000360012054443e-01,-1.090529353580658722e-01,5.301970560739539540e-01,8.408320516133420686e-01,1.997924553554642109e-03,3.472225219011306763e-01,2.388785928487777710e-01,1.850000023841857910e-01,4.808738550562595693e-01,4.403193821407530573e-01,2.827389581693911524e-01
1.207452714443206787e-01,2.946762740612030029e-02,4.320000112056732178e-01,-2.989044029249272039e-01,-2.628147811380307508e-01,9.173791739119989685e-01,7.454133226774285054e-03,3.472225219011306763e-01,2.388785928487777710e-01,1.850000023841857910e-01,4.808738550562595693e-01,4.403193821407530573e-01,2.827389581693911524e-01
-8.604754693806171417e-04,7.788917981088161469e-03,4.340000152587890625e-01,3.011147358236359595e-01,-4.422415507471636614e-02,9.525618824925702333e-01,2.820171273281068137e-03,3.472225219011306763e-01,2.388785928487777710e-01,1.850000023841857910e-01,4.808738550562595693e-01,4.403193821407530573e-01,2.827389581693911524e-01
-1.579432003200054169e-02,4.452082142233848572e-02,4.450000226497650146e-01,4.683279187037987512e-01,-3.397839796344113705e-01,8.156076310005750951e-01,8.247046918403220725e-03,3.472225219011306763e-01,2.388785928487777710e-01,1.850000023841857910e-01,4.808738550562595693e-01,4.403193821407530573e-01,2.827389581693911524e-01
-3.786529414355754852e-03,-7.516154088079929352e-03,4.360000193119049072e-01,4.400409371604491193e-01,7.086110481241479631e-02,8.951774558419786088e-01,4.062913816846425163e-03,3.472225219011306763e-01,2.388785928487777710e-01,1.850000023841857910e-01,4.808738550562595693e-01,4.403193821407530573e-01,2.827389581693911524e-01
