x,y,z,nx,ny,nz,curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth
-1.379747688770294189e-02,-1.113511342555284500e-02,4.080000221729278564e-01,-2.382346389407513088e-01,1.277211749035633281e-01,9.627728487499132015e-01,3.443852919632121607e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-9.583231806755065918e-02,8.379912376403808594e-02,4.360000193119049072e-01,4.445199588701836402e-01,-4.757235850988325576e-01,7.590053206313932543e-01,1.621183915466100928e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-8.706606179475784302e-02,-7.107158750295639038e-02,4.360000193119049072e-01,-1.064845430958836908e-01,-5.730237317251358764e-01,-8.125914379080425576e-01,4.016222492415423388e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-4.866700991988182068e-02,9.115609526634216309e-02,4.260000288486480713e-01,-8.661729476931122329e-02,-4.600424197979016694e-01,8.836619354896630973e-01,1.093502905203671410e-02,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
3.500732779502868652e-02,1.700377278029918671e-02,4.280000329017639160e-01,-5.066316236529039285e-01,-1.176166024479784605e-01,8.541022964161942843e-01,3.088365037967582671e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-1.619789563119411469e-02,-4.841117933392524719e-02,4.170000255107879639e-01,-1.199119525130253328e-01,4.292353061250475110e-01,8.951972830724247432e-01,5.231158572601590784e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
1.887127570807933807e-02,-1.849975623190402985e-02,4.200000166893005371e-01,4.469320439840598902e-01,-1.756262531117235848e-01,-8.771585759018528661e-01,2.713815448556693155e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
3.712381469085812569e-03,-1.058131605386734009e-01,4.600000083446502686e-01,-1.108095894071330217e-01,6.879887362093819458e-01,7.172117774719264371e-01,3.840243433926032388e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-5.644972249865531921e-02,-4.887432605028152466e-02,4.150000214576721191e-01,6.834503936752461817e-02,4.874913093868387115e-01,8.704488375925129029e-01,3.007303177799326276e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-7.293508946895599365e-02,-6.444513052701950073e-02,4.260000288486480713e-01,1.011174540573781672e-01,6.562906730375918096e-01,7.477016871512454088e-01,9.656997516904573461e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-2.796776592731475830e-02,-6.730020046234130859e-02,4.260000288486480713e-01,-4.844581815040253925e-02,5.027321200617501651e-01,8.630836681121685228e-01,2.490651604239947550e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
8.094599843025207520e-02,7.356199622154235840e-02,4.840000271797180176e-01,7.010968706656195426e-01,3.078250498589581441e-01,-6.432005259809768782e-01,7.638743697910728263e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
2.544474601745605469e-02,3.531567752361297607e-02,4.240000247955322266e-01,-5.003262798513147258e-01,-2.025434307172469806e-01,8.418133833358980578e-01,2.691072041296826284e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-1.053634751588106155e-02,-1.177158281207084656e-01,4.770000278949737549e-01,-5.637078944320760010e-02,-5.612434567364374960e-01,-8.257288394915633933e-01,1.503748640308742723e-02,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-6.627245247364044189e-02,7.986285723745822906e-03,4.070000052452087402e-01,1.046457250788117022e-01,-9.398150161304097416e-02,9.900589626771164609e-01,1.819959525756614793e-02,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-9.285290539264678955e-02,3.301549702882766724e-02,4.130000174045562744e-01,-2.841216940546685277e-01,4.042710279062133316e-01,-8.693904755420082120e-01,4.263794030376072755e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-5.211652070283889771e-02,-2.045187912881374359e-02,4.030000269412994385e-01,-5.186981844231618177e-02,3.629976460695850116e-01,9.303452213467329202e-01,6.012655434633954257e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-1.467672735452651978e-02,-7.947162538766860962e-02,4.340000152587890625e-01,-1.319276645223035893e-01,5.911516700615576658e-01,7.956976777125351896e-01,3.814133030880451341e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
5.368222296237945557e-02,-1.687316107563674450e-03,4.400000274181365967e-01,-5.955949827887359049e-01,-6.984643156374886579e-03,8.032545245666926625e-01,5.250309532188432091e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
6.277474015951156616e-02,1.281651435419917107e-03,4.470000267028808594e-01,-7.053925226716674102e-01,-4.135246408334522505e-02,7.076096117727180834e-01,6.250007404271578151e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
5.688853561878204346e-02,-1.576591655611991882e-02,4.420000314712524414e-01,-5.095772619099123713e-01,1.592090106657483711e-02,8.602775941831942719e-01,5.673654160387083152e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
7.425614446401596069e-02,-9.426569193601608276e-02,4.880000352859497070e-01,2.973785343761927921e-02,-7.223565515126330050e-01,-6.908810842393207086e-01,8.866243956855705127e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-1.608136296272277832e-02,5.390527099370956421e-02,4.140000343322753906e-01,-2.424460779670279675e-01,-1.194814036509870697e-01,9.627793586590832620e-01,4.299601708259510185e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-1.410254538059234619e-01,8.182954788208007812e-02,4.620000123977661133e-01,-2.011777600827796553e-01,1.335382409025993866e-01,-9.704097315385471489e-01,3.793032288336384977e-02,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-4.330568015575408936e-03,5.092427507042884827e-02,4.180000126361846924e-01,-3.071672606454918797e-01,-2.221367679513113758e-01,9.253667004553868258e-01,2.064495179229520940e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
8.332952857017517090e-02,2.890973165631294250e-02,4.700000286102294922e-01,7.362035921788911974e-01,1.430621488358847226e-01,-6.614661687746065111e-01,2.318132034342541056e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
1.079908851534128189e-02,-7.090857625007629395e-02,4.350000321865081787e-01,-3.010266096825024995e-01,5.422004299152097806e-01,7.844754132940177094e-01,4.264619125202782045e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-7.748267799615859985e-02,-2.801777422428131104e-02,4.050000309944152832e-01,-4.703314728627835256e-02,-2.930178507456328019e-01,-9.549494343685206443e-01,1.669717533638473417e-02,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-1.703455895185470581e-01,-4.594065714627504349e-03,4.360000193119049072e-01,6.796172573859418087e-01,3.729694947324417864e-01,6.316756600204235239e-01,5.013839088367343100e-02,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-4.569672048091888428e-02,4.766877682413905859e-04,4.000000059604644775e-01,4.069802867828867798e-01,-1.021225334214909651e-02,-9.133798531015421274e-01,2.236306729012765143e-02,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
7.497300207614898682e-02,-7.768975943326950073e-02,4.670000076293945312e-01,1.962893512041977151e-01,-6.572299806255083032e-01,-7.276807288714113309e-01,8.573057338039096961e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
9.774754196405410767e-02,3.349214419722557068e-02,4.910000264644622803e-01,7.659982290307432162e-01,9.289424976067139905e-02,-6.360954106760772220e-01,1.020325800328064983e-02,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-1.308405697345733643e-01,3.084370493888854980e-02,4.310000240802764893e-01,6.639315619200977237e-01,-1.593748828532998152e-01,7.306124333747926469e-01,8.667035924444337069e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-2.940227836370468140e-02,-5.178014189004898071e-02,4.160000085830688477e-01,-2.337849223470361282e-01,4.308527557498582072e-01,8.716137406821575784e-01,4.284080163729436265e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-1.269944757223129272e-01,-3.138922899961471558e-02,4.230000078678131104e-01,2.756228907460512786e-02,-2.165398923573580436e-01,-9.758846218886899626e-01,3.482291672948135963e-02,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-8.517879247665405273e-02,6.570822745561599731e-02,4.230000078678131104e-01,2.803824154850911854e-01,-3.830345334338219887e-01,8.801535361991565942e-01,3.849373702093602124e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
5.729123950004577637e-02,-6.369319558143615723e-02,4.510000348091125488e-01,-1.425609170682560489e-01,6.263276682594854927e-01,7.664137504620424091e-01,1.926432774605284226e-02,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
6.145332008600234985e-03,3.674037754535675049e-02,4.160000085830688477e-01,-2.610623457867506936e-01,-7.593803841322403769e-02,9.623304348997130386e-01,9.025989924142373624e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-1.626440286636352539e-01,-8.915429003536701202e-03,4.330000281333923340e-01,-6.604227405690014097e-01,-2.310882942227243386e-01,-7.144508408648988507e-01,4.480838492090981340e-02,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-7.370891515165567398e-03,-7.548629492521286011e-02,4.320000112056732178e-01,1.052045183227473951e-01,-5.564398238690698717e-01,-8.242006623007757105e-01,1.573708705308875808e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-6.675153225660324097e-02,-6.115632876753807068e-02,4.230000078678131104e-01,7.885318806324953522e-02,5.926137062351712892e-01,8.016178453068992793e-01,7.657568689692406498e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
2.647482557222247124e-03,-2.447842434048652649e-02,4.140000343322753906e-01,-2.984217152848263610e-01,1.874485464747185914e-01,9.358458859614532388e-01,7.640966794906988227e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
3.365354612469673157e-03,4.102082550525665283e-02,4.170000255107879639e-01,-1.832583315796928736e-01,-3.448891089162139933e-01,9.205801901288160893e-01,5.701713954302076344e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
6.173734366893768311e-02,-9.632224589586257935e-02,4.860000312328338623e-01,-2.720138924661201496e-02,6.728636020652789540e-01,7.392662967015284359e-01,8.416443864296433916e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-1.608487963676452637e-01,-3.133021062240004539e-03,4.360000193119049072e-01,-6.604227405690014097e-01,-2.310882942227243386e-01,-7.144508408648988507e-01,4.480838492090986891e-02,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
4.726105555891990662e-02,-5.057295411825180054e-02,4.420000314712524414e-01,3.366781920969043607e-01,-3.056050663720776828e-01,-8.906477072187847233e-01,1.459167259406161932e-02,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-3.081196919083595276e-02,3.185392171144485474e-02,4.070000052452087402e-01,-6.554725484361577370e-02,-3.246869785064340763e-01,9.435475204624452772e-01,1.090099080917386783e-02,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
-1.297865435481071472e-02,-6.730020046234130859e-02,4.260000288486480713e-01,-7.140083002980515681e-02,4.664814783923357799e-01,8.816444588313112618e-01,4.710746186064884884e-03,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
9.330257028341293335e-02,3.470811247825622559e-02,4.850000143051147461e-01,7.966439590185724340e-01,3.809565736149005816e-02,-6.032471495576349207e-01,1.124526599398832649e-02,3.128132075071334839e-01,2.421851754188537598e-01,2.349999845027923584e-01,4.260848626180051557e-01,3.248753182948833640e-01,2.858165282674725582e-01
