x,y,z,nx,ny,nz,curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth
-1.438415702432394028e-02,1.100445538759231567e-01,3.870000243186950684e-01,-3.003611983213320125e-01,2.578493444819611180e-01,9.183119655613751764e-01,9.434990077742925682e-03,9.508743137121200562e-02,1.995297111570835114e-01,4.600000381469726562e-02,9.970736197590726602e-02,2.040840146404381827e-01,6.811045095568890595e-02
-4.855726286768913269e-02,7.279361784458160400e-02,3.960000276565551758e-01,6.097007057160288568e-01,8.200949899478710003e-02,7.883777594047161053e-01,4.863671985124601652e-03,9.508743137121200562e-02,1.995297111570835114e-01,4.600000381469726562e-02,9.970736197590726602e-02,2.040840146404381827e-01,6.811045095568890595e-02
-5.618116632103919983e-02,5.585846304893493652e-02,4.080000221729278564e-01,7.875158162637121428e-01,8.554607939357018742e-02,6.103283603396520984e-01,2.070926297419662526e-03,9.508743137121200562e-02,1.995297111570835114e-01,4.600000381469726562e-02,9.970736197590726602e-02,2.040840146404381827e-01,6.811045095568890595e-02
5.541844875551760197e-04,8.055525273084640503e-02,4.050000309944152832e-01,7.675289426444388274e-01,-8.757184462527781155e-02,-6.350043261522206883e-01,3.193360707980309916e-03,9.508743137121200562e-02,1.995297111570835114e-01,4.600000381469726562e-02,9.970736197590726602e-02,2.040840146404381827e-01,6.811045095568890595e-02
-2.281364612281322479e-02,8.994346857070922852e-02,3.870000243186950684e-01,-1.648763566326350294e-01,1.987578495084777741e-01,9.660802783838999819e-01,8.053611207010487327e-03,9.508743137121200562e-02,1.995297111570835114e-01,4.600000381469726562e-02,9.970736197590726602e-02,2.040840146404381827e-01,6.811045095568890595e-02
-4.644916579127311707e-02,7.327161729335784912e-02,3.950000107288360596e-01,5.557428746061557900e-01,9.494863900386169009e-02,8.259144103814879401e-01,4.193388921588908635e-03,9.508743137121200562e-02,1.995297111570835114e-01,4.600000381469726562e-02,9.970736197590726602e-02,2.040840146404381827e-01,6.811045095568890595e-02
-2.251889556646347046e-02,1.457453817129135132e-01,3.820000290870666504e-01,-2.484546713315430311e-01,9.726644625286723356e-02,9.637476405817413383e-01,1.211252852423074823e-02,9.508743137121200562e-02,1.995297111570835114e-01,4.600000381469726562e-02,9.970736197590726602e-02,2.040840146404381827e-01,6.811045095568890595e-02
-5.441090837121009827e-02,6.494788080453872681e-02,4.050000309944152832e-01,7.565526719787530885e-01,7.102219271523384225e-02,6.500645373066655797e-01,4.019458496398990548e-03,9.508743137121200562e-02,1.995297111570835114e-01,4.600000381469726562e-02,9.970736197590726602e-02,2.040840146404381827e-01,6.811045095568890595e-02
-1.185140106827020645e-02,1.093097105622291565e-01,3.890000283718109131e-01,-3.769539773095550994e-01,2.893059041182618474e-01,8.798907846050113557e-01,6.955104154995628458e-03,9.508743137121200562e-02,1.995297111570835114e-01,4.600000381469726562e-02,9.970736197590726602e-02,2.040840146404381827e-01,6.811045095568890595e-02
-5.333430692553520203e-02,9.545030444860458374e-02,4.020000100135803223e-01,7.589443965525276559e-01,-5.833005764886036587e-02,6.485375912899731254e-01,7.470675750035437809e-03,9.508743137121200562e-02,1.995297111570835114e-01,4.600000381469726562e-02,9.970736197590726602e-02,2.040840146404381827e-01,6.811045095568890595e-02
